dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
rgb,1,C0,0.0,1.0556,0.0
rgb,1,C1,10.202,0.0581,0.0566
rgb,1,C2,5.42,0.0647,0.0937
rgb,1,C3,2.71,0.0689,0.1585
rgb,3,C0,0.0,1.1836,0.0
rgb,3,C1,25.287,0.0598,0.0583
rgb,3,C2,13.434,0.0597,0.1209
rgb,3,C3,6.717,0.0599,0.172
rgb,5,C0,0.0,1.2689,0.0
rgb,5,C1,40.063,0.0609,0.0744
rgb,5,C2,21.283,0.0599,0.1837
rgb,5,C3,10.642,0.0593,0.2348
