dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
rgb,1,C0,0.0,1.0378,0.0
rgb,1,C1,10.202,0.0816,0.0797
rgb,1,C2,5.42,0.0752,0.109
rgb,1,C3,2.71,0.0587,0.1362
rgb,3,C0,0.0,1.1325,0.0
rgb,3,C1,25.287,0.0561,0.056
rgb,3,C2,13.434,0.0556,0.1198
rgb,3,C3,6.717,0.059,0.1725
rgb,5,C0,0.0,1.2559,0.0
rgb,5,C1,40.063,0.0579,0.073
rgb,5,C2,21.283,0.0602,0.184
rgb,5,C3,10.642,0.0591,0.2352
