dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
rgb,1,C0,0.0,1.4701,0.0
rgb,1,C1,15.87,0.0867,0.0831
rgb,1,C2,8.431,0.0863,0.1364
rgb,1,C3,4.216,0.0882,0.2068
rgb,3,C0,0.0,1.5447,0.0
rgb,3,C1,39.335,0.088,0.0848
rgb,3,C2,20.897,0.089,0.2153
rgb,3,C3,10.448,0.0882,0.2881
rgb,5,C0,0.0,1.84,0.0
rgb,5,C1,62.32,0.0877,0.0897
rgb,5,C2,33.107,0.0863,0.3271
rgb,5,C3,16.554,0.0866,0.401
