idx,hhem_faithfulness,nli_entailment,nli_neutral,nli_contradiction
0,0.9727956056594849,0.0017165620811283588,0.9889434576034546,0.009339881129562855
1,0.9177100658416748,0.09374861419200897,0.8479863405227661,0.058265071362257004
2,0.22326476871967316,0.0065019214525818825,0.9760755300521851,0.017422495409846306
3,0.08795203268527985,0.0071443538181483746,0.12241349369287491,0.8704422116279602
4,0.7212608456611633,0.0020891528110951185,0.7033889889717102,0.29452189803123474
5,0.9767059683799744,0.06047888472676277,0.891384482383728,0.04813669994473457
6,0.04835190251469612,0.0006326368311420083,0.0016512214206159115,0.9977161884307861
7,0.9548506140708923,0.015089400112628937,0.010775749571621418,0.9741348028182983
8,0.8403440117835999,0.008301851339638233,0.9813300967216492,0.010368035174906254
9,0.08018626272678375,0.0051491823978722095,0.001913162530399859,0.9929376244544983
10,0.06884642690420151,0.1232437789440155,0.8475223183631897,0.029233871027827263
11,0.3978116810321808,0.001399229746311903,0.9984354376792908,0.00016531093569938093
12,0.9555835127830505,0.4185575842857361,0.24557054042816162,0.3358718454837799
13,0.9769052267074585,0.9946341514587402,0.005256239790469408,0.0001096008563763462
14,0.542939305305481,0.9751841425895691,0.023871952667832375,0.0009439133573323488
15,0.1585434526205063,0.0034170241560786963,0.9853496551513672,0.011233369819819927
16,0.8591125011444092,0.005998604465276003,0.9898934960365295,0.004107851069420576
17,0.03549126908183098,7.969303987920284e-05,0.9957937002182007,0.004126609768718481
18,0.8365603685379028,0.6663469672203064,0.3334687352180481,0.00018429613555781543
19,0.9725434184074402,0.33966174721717834,0.2382088154554367,0.42212945222854614
20,0.031984828412532806,6.05589484621305e-05,0.00015898155106697232,0.9997804760932922
21,0.25003287196159363,0.003041507676243782,0.01747734099626541,0.9794812202453613
22,0.0047989957965910435,0.0009724979172460735,0.9953460097312927,0.0036814422346651554
23,0.9542289972305298,0.0046300427056849,0.9946969747543335,0.0006729528540745378
24,0.9474852681159973,0.9756489396095276,0.01771591603755951,0.006635104771703482
25,0.1380540281534195,3.0790783057454973e-05,0.9996871948242188,0.00028211550670675933
