idx,hhem_faithfulness,nli_entailment,nli_neutral,nli_contradiction
0,0.01047403085976839,0.0001299211144214496,0.9995982050895691,0.0002719320182222873
1,0.9826363325119019,0.946254312992096,0.05321641266345978,0.0005292958812788129
2,0.7897013425827026,0.29267314076423645,0.7070862650871277,0.0002405499981250614
3,0.039798103272914886,0.0019991318695247173,0.01317550428211689,0.9848254323005676
4,0.09784269332885742,0.07836204767227173,0.5369886755943298,0.3846493363380432
5,0.010744107887148857,0.0005362174706533551,0.9988617897033691,0.0006020244909450412
6,0.9705615639686584,0.99826580286026,0.0016832019900903106,5.1026843721047044e-05
7,0.9603316187858582,0.9325926303863525,0.06693300604820251,0.0004743725876323879
8,0.9713760018348694,0.8816445469856262,0.10729121416807175,0.01106423418968916
9,0.8849513530731201,0.00108924915548414,0.9983556866645813,0.0005550499772652984
10,0.708721399307251,0.0007897282484918833,0.9991044402122498,0.00010573568579275161
11,0.9618582129478455,0.14414186775684357,0.8555030822753906,0.00035515520721673965
12,0.9392714500427246,0.99073725938797,0.009183511137962341,7.929094863357022e-05
13,0.8388195037841797,0.9616580009460449,0.03707089647650719,0.0012711341260001063
14,0.9457814693450928,0.23699262738227844,0.7602636218070984,0.0027437328826636076
15,0.7977981567382812,0.4488266706466675,0.19282323122024536,0.35835015773773193
16,0.009861871600151062,0.000630789902061224,0.9991416931152344,0.00022751366486772895
17,0.959219753742218,0.04719884321093559,0.8997520804405212,0.05304915830492973
18,0.9444803595542908,0.19639629125595093,0.7206774353981018,0.08292625844478607
19,0.9287189245223999,0.0012384221190586686,0.9971042275428772,0.0016572789754718542
20,0.9867587685585022,0.0008181488956324756,0.9991505146026611,3.135127553832717e-05
21,0.8645965456962585,0.6373560428619385,0.3490836024284363,0.013560350984334946
22,0.9715648889541626,0.9816036224365234,0.017801424488425255,0.0005948899197392166
23,0.9157847762107849,0.00016167706053238362,0.999828577041626,9.82471010502195e-06
24,0.6654418706893921,0.49440911412239075,0.4721839725971222,0.03340686485171318
25,0.9375130534172058,0.9496235847473145,0.04985031485557556,0.0005261474289000034
26,0.8735740780830383,0.006554580759257078,0.00976772140711546,0.9836777448654175
27,0.020743709057569504,0.04064815863966942,0.8961937427520752,0.06315813213586807
28,0.9315778613090515,0.9648889899253845,0.026638586074113846,0.008472425863146782
29,0.938904881477356,0.9970380067825317,0.002934059128165245,2.789809150272049e-05
30,0.921819806098938,0.04293704777956009,0.9458214044570923,0.011241594329476357
31,0.9392714500427246,0.99073725938797,0.009183501824736595,7.929094863357022e-05
32,0.9751608967781067,0.9777289032936096,0.020601049065589905,0.0016700222622603178
33,0.9660788178443909,0.9977224469184875,0.001935502514243126,0.00034209570731036365
34,0.9744222164154053,0.01166810467839241,0.9842547178268433,0.004077158402651548
35,0.9555336833000183,0.03003077208995819,0.9656795263290405,0.004289617296308279
36,0.003917267546057701,0.005414648912847042,0.9679120182991028,0.026673395186662674
37,0.9562440514564514,0.0005323188961483538,0.9994280934333801,3.960139656555839e-05
38,0.7801337838172913,0.9964190721511841,0.0033038617111742496,0.00027701936778612435
39,0.7204683423042297,0.004389817360788584,0.9944446682929993,0.0011655103880912066
40,0.8602415919303894,0.9267480373382568,0.07029613107442856,0.002955799689516425
41,0.9007782340049744,0.9193640947341919,0.06810741126537323,0.012528464198112488
