dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
rgb,1,C0,0.0,0.9223,0.0
rgb,1,C1,15.87,0.0545,0.0508
rgb,1,C2,8.431,0.0834,0.1341
rgb,1,C3,4.463,0.0539,0.1547
rgb,3,C0,0.0,1.0334,0.0
rgb,3,C1,39.335,0.0557,0.0574
rgb,3,C2,20.897,0.0873,0.2143
rgb,3,C3,11.063,0.0541,0.2514
rgb,5,C0,0.0,1.1961,0.0
rgb,5,C1,62.32,0.056,0.079
rgb,5,C2,33.107,0.0936,0.3279
rgb,5,C3,17.527,0.0544,0.3838
