dataset,k,condition,kv_mb,hall_rate
hotpotqa,1,C1,11.539,0.3731
hotpotqa,1,C2,6.13,0.3881
hotpotqa,1,C3,3.245,0.4179
hotpotqa,3,C1,27.135,0.22
hotpotqa,3,C2,14.416,0.235
hotpotqa,3,C3,7.632,0.28
hotpotqa,5,C1,43.829,0.1822
hotpotqa,5,C2,23.284,0.2103
hotpotqa,5,C3,12.327,0.4299
