dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
hotpotqa,1,C0,0.0,0.8516,0.0
hotpotqa,1,C1,11.539,0.0668,0.0652
hotpotqa,1,C2,6.13,0.0666,0.1015
hotpotqa,1,C3,3.245,0.0668,0.162
hotpotqa,3,C0,0.0,1.058,0.0
hotpotqa,3,C1,27.135,0.0675,0.066
hotpotqa,3,C2,14.416,0.0673,0.1475
hotpotqa,3,C3,7.632,0.0673,0.2132
hotpotqa,5,C0,0.0,1.1548,0.0
hotpotqa,5,C1,43.829,0.0677,0.0679
hotpotqa,5,C2,23.284,0.0565,0.2176
hotpotqa,5,C3,12.327,0.0505,0.2648
