Dataset,K,Condition,ContainEM (prim.),EM,F1 (secondary),Hallucination,Entailment,NonFinite,Degen.,KV Size (MB),TTFT (s),Latency (s),wiki_pages,n_examples,paired_n
rgb,1,Full-Context Oracle,0.7433,0.0833,0.3297,0.0584,0.7058,0,0.0000,0.000,0.9160,0.9160,0,300,255
rgb,1,FP16 Precomputed-KV,0.7467,0.0700,0.3206,0.0667,0.7096,0,0.0000,15.870,0.0539,0.9173,0,300,255
rgb,1,INT4 Precomputed-KV,0.6633,0.0133,0.2351,0.1569,0.6602,0,0.0067,4.463,0.0534,1.0441,0,300,255
rgb,3,Full-Context Oracle,0.8467,0.1333,0.4005,0.0412,0.5620,0,0.0000,0.000,1.0244,1.0244,0,300,286
rgb,3,FP16 Precomputed-KV,0.8567,0.1200,0.3849,0.0350,0.5883,0,0.0000,39.335,0.0551,1.0350,0,300,286
rgb,3,INT4 Precomputed-KV,0.7233,0.0100,0.2348,0.1818,0.5373,0,0.0267,11.063,0.0540,1.2118,0,300,286
rgb,5,Full-Context Oracle,0.9133,0.1133,0.4071,0.0203,0.6350,0,0.0000,0.000,1.1902,1.1902,0,300,292
rgb,5,FP16 Precomputed-KV,0.9033,0.1233,0.4135,0.0171,0.6268,0,0.0000,62.320,0.0557,1.1303,0,300,292
rgb,5,INT4 Precomputed-KV,0.7100,0.0167,0.2430,0.2774,0.5145,0,0.0600,17.527,0.0540,1.3441,0,300,292
