idx,hhem_faithfulness,nli_entailment,nli_neutral,nli_contradiction
0,0.9667726755142212,0.9486452341079712,0.050386589020490646,0.0009682216332294047
1,0.9701011180877686,0.9669539928436279,0.023510148748755455,0.009535937570035458
2,0.9435015320777893,0.9832566380500793,0.016504518687725067,0.00023881709785200655
3,0.9658262133598328,0.9745901226997375,0.025088077411055565,0.0003218140045646578
4,0.9705712199211121,0.7409572601318359,0.09845992177724838,0.1605827957391739
5,0.9183954000473022,0.0005667220102623105,0.9993064403533936,0.00012682365195360035
6,0.9911451935768127,0.9762684106826782,0.022210290655493736,0.0015212493017315865
7,0.9798118472099304,0.046255238354206085,0.9534629583358765,0.00028176928753964603
8,0.9915347695350647,0.5480297207832336,0.43505868315696716,0.016911586746573448
9,0.9711705446243286,0.017124928534030914,0.971997857093811,0.010877225548028946
10,0.9369599223136902,0.018906116485595703,0.9737833738327026,0.007310479413717985
11,0.943560779094696,0.0014677491271868348,0.9965261816978455,0.002006110968068242
12,0.9413230419158936,0.005080691538751125,0.9948693513870239,4.989481021766551e-05
13,0.9751505851745605,0.9929290413856506,0.006911608390510082,0.00015936049749143422
14,0.8980225324630737,0.9903625845909119,0.009079008363187313,0.0005584004102274776
15,0.6271974444389343,0.9675437211990356,0.02325078658759594,0.009205484762787819
16,0.8183815479278564,0.0015457934932783246,0.9965571165084839,0.0018970530945807695
17,0.9653822779655457,0.9986429810523987,0.0012950641103088856,6.197510083438829e-05
18,0.9264327883720398,0.9922195672988892,0.007552033290266991,0.00022837908181827515
19,0.9709349274635315,0.06880328804254532,0.9031856060028076,0.028011200949549675
20,0.9544251561164856,0.996446430683136,0.0034579881466925144,9.56570147536695e-05
21,0.04199342429637909,0.0012212550500407815,0.005114831030368805,0.9936639070510864
22,0.9897702932357788,0.0033495156094431877,0.9902117848396301,0.006438673008233309
23,0.9697180390357971,0.020065728574991226,0.9761537909507751,0.003780535887926817
24,0.9860434532165527,0.22963030636310577,0.02736268751323223,0.7430069446563721
25,0.9298208951950073,0.9892444610595703,0.009188415482640266,0.001567161176353693
26,0.9911450743675232,0.9762685298919678,0.022210240364074707,0.0015212451107800007
27,0.9758042097091675,0.04705573990941048,0.03414463251829147,0.9187996983528137
28,0.8801498413085938,0.008835974149405956,0.969499409198761,0.021664725616574287
29,0.9650516510009766,0.8255046010017395,0.17272664606571198,0.0017686679493635893
30,0.024264343082904816,0.001237023388966918,0.020131029188632965,0.9786319732666016
31,0.9877046346664429,0.010785205289721489,0.9889758825302124,0.00023898444487713277
32,0.04199342429637909,0.0012212550500407815,0.005114831030368805,0.9936639070510864
33,0.017732737585902214,0.00047618994722142816,0.9991846680641174,0.00033909041667357087
34,0.9745978116989136,0.9481220245361328,0.03655725345015526,0.01532077044248581
35,0.9210717082023621,0.3405553996562958,0.6593514680862427,9.31319227674976e-05
36,0.9713487029075623,0.025494292378425598,0.9707002639770508,0.0038054808974266052
37,0.7088784575462341,0.996059775352478,0.0035765678621828556,0.0003636862966232002
38,0.9599971771240234,0.0038893865421414375,0.9958420395851135,0.00026854826137423515
39,0.9659966826438904,0.4651416540145874,0.5338806509971619,0.0009776653023436666
40,0.9066739082336426,0.9133675694465637,0.07296960055828094,0.013662830926477909
41,0.9953563809394836,0.9853684306144714,0.0144723579287529,0.0001592474727658555
