dataset,k,condition,avg_kv_mb,avg_ttft_s,avg_io_s
rgb,1,C0,0.0,1.4363,0.0
rgb,1,C1,15.87,0.082,0.0789
rgb,1,C2,8.431,0.0834,0.1341
rgb,1,C3,4.216,0.0812,0.1966
rgb,3,C0,0.0,1.4252,0.0
rgb,3,C1,39.335,0.083,0.0804
rgb,3,C2,20.897,0.0873,0.2143
rgb,3,C3,10.448,0.093,0.2954
rgb,5,C0,0.0,1.5943,0.0
rgb,5,C1,62.32,0.0864,0.0896
rgb,5,C2,33.107,0.0936,0.3279
rgb,5,C3,16.554,0.0832,0.3979
