dataset,k,condition,kv_mb,hall_rate
rgb,1,C1,15.87,0.0602
rgb,1,C2,8.431,0.1004
rgb,1,C3,4.216,0.506
rgb,3,C1,39.335,0.0447
rgb,3,C2,20.897,0.0962
rgb,3,C3,10.448,0.622
rgb,5,C1,62.32,0.0272
rgb,5,C2,33.107,0.0408
rgb,5,C3,16.554,0.6905
