dataset,k,condition,kv_mb,hall_rate
rgb,1,C1,15.87,0.0667
rgb,1,C2,8.431,0.1004
rgb,1,C3,4.463,0.1569
rgb,3,C1,39.335,0.035
rgb,3,C2,20.897,0.0756
rgb,3,C3,11.063,0.1818
rgb,5,C1,62.32,0.0171
rgb,5,C2,33.107,0.0306
rgb,5,C3,17.527,0.2774
