idx,hhem_faithfulness,nli_entailment,nli_neutral,nli_contradiction
0,0.9615044593811035,0.9423026442527771,0.056509923189878464,0.0011874566553160548
1,0.006962631829082966,0.11290694028139114,0.7752215266227722,0.11187148094177246
2,0.9314739108085632,0.481330007314682,0.5178043842315674,0.0008656217833049595
3,0.9698840975761414,0.9761584401130676,0.023494461551308632,0.00034712502383627
4,0.8414508104324341,0.24787239730358124,0.3829047679901123,0.36922281980514526
5,0.9149801731109619,0.0007627358427271247,0.9990787506103516,0.00015848211478441954
6,0.9911743402481079,0.9767365455627441,0.02185771055519581,0.0014057623920962214
7,0.9844820499420166,0.13627423346042633,0.8633918166160583,0.00033388216979801655
8,0.9915347695350647,0.5480297207832336,0.43505868315696716,0.016911586746573448
9,0.974149763584137,0.926291286945343,0.06828030943870544,0.005428363103419542
10,0.9170330166816711,0.07211439311504364,0.924488365650177,0.0033972389064729214
11,0.9442391991615295,0.01581554301083088,0.9797784090042114,0.004405988845974207
12,0.020243803039193153,0.0044615487568080425,0.9954320192337036,0.00010642153938533738
13,0.9746401906013489,0.9887836575508118,0.010976341553032398,0.00024000107077881694
14,0.9294092655181885,0.9931539297103882,0.006699896417558193,0.0001462387153878808
15,0.6271974444389343,0.9675437211990356,0.02325078658759594,0.009205484762787819
16,0.012688465416431427,0.006486214697360992,0.9812698364257812,0.01224393118172884
17,0.9653822779655457,0.9986429810523987,0.0012950641103088856,6.197510083438829e-05
18,0.022192327305674553,0.02223031036555767,0.9249388575553894,0.05283080413937569
19,0.9709349274635315,0.06880328804254532,0.9031856060028076,0.028011200949549675
20,0.9544251561164856,0.996446430683136,0.0034579881466925144,9.56570147536695e-05
21,0.03741813078522682,0.0009409491904079914,0.002877018181607127,0.9961819648742676
22,0.9410845041275024,0.12176673114299774,0.7548419237136841,0.12339132279157639
23,0.9752153158187866,0.33757132291793823,0.6574456691741943,0.004983009770512581
24,0.9689608216285706,0.12726272642612457,0.17017336189746857,0.7025638818740845
25,0.7876419425010681,0.02640901319682598,0.9553894400596619,0.0182015560567379
26,0.9543574452400208,0.8355367183685303,0.15151213109493256,0.012951131910085678
27,0.9759917259216309,0.005095209926366806,0.014949719421565533,0.9799550175666809
28,0.8801498413085938,0.008835974149405956,0.969499409198761,0.021664725616574287
29,0.9655060172080994,0.022098034620285034,0.9741740822792053,0.003727905685082078
30,0.07977231591939926,0.0018607759848237038,0.9324817657470703,0.06565733253955841
31,0.5870513916015625,0.018077930435538292,0.979331374168396,0.002590683288872242
32,0.04199349880218506,0.0012212550500407815,0.005114831030368805,0.9936639070510864
33,0.017732704058289528,0.00047618994722142816,0.9991846680641174,0.00033909041667357087
34,0.01123866718262434,0.008665954694151878,0.97719407081604,0.014139984734356403
